,clock (s),posX (m),posY (m),posZ (m)
0,294.0,0.0,0.0,39.19728
1,295.0,0.0,0.0,39.288720000000005
2,296.0,0.0,0.0,39.288720000000005
3,297.0,0.0,0.0,39.41064000000001
4,298.0,0.0,0.0,39.41064000000001
5,299.0,0.0,0.0,39.41064000000001
6,300.0,0.0,0.0,39.288720000000005
7,301.0,0.0,0.0,39.41064000000001
8,302.0,0.0,0.0,40.203120000000006
9,303.0,0.0,0.0,41.51376
10,304.0,0.0,0.0,42.70248
11,305.0,0.0,0.0,43.79976
12,306.0,0.0,0.0,44.592240000000004
13,307.0,-0.089408,0.22352,44.98848
14,308.0,-0.983488,1.3411199999999999,45.110400000000006
15,309.0,-1.698752,2.056384,44.98848
16,310.0,-1.207008,1.56464,45.110400000000006
17,311.0,-0.402336,0.759968,44.98848
18,312.0,0.49174399999999996,0.17881599999999997,44.897040000000004
19,313.0,-0.08940800000000004,0.89408,44.897040000000004
20,314.0,-0.983488,1.475232,45.110400000000006
21,315.0,-1.78816,2.369312,45.110400000000006
22,316.0,-2.68224,3.3528,45.110400000000006
23,317.0,-3.4869120000000002,4.336288,45.110400000000006
24,318.0,-4.291584,5.2303679999999995,45.201840000000004
25,319.0,-5.185664,6.213856,44.897040000000004
26,320.0,-5.990336,7.331455999999999,45.110400000000006
27,321.0,-6.795008,8.225536,44.98848
28,322.0,-7.59968,9.030208,44.897040000000004
29,323.0,-8.404352,9.83488,44.71416
30,324.0,-9.209024,10.639552,44.71416
31,325.0,-9.924287999999999,11.533632,44.897040000000004
32,326.0,-10.728959999999999,12.338304,44.805600000000005
33,327.0,-11.62304,13.232384000000001,45.110400000000006
34,328.0,-12.427712,14.349984000000001,45.110400000000006
35,329.0,-13.321792,15.333472,45.201840000000004
36,330.0,-14.126464,16.31696,45.110400000000006
37,331.0,-14.841728,17.21104,45.110400000000006
38,332.0,-15.735808,18.10512,45.201840000000004
39,333.0,-16.451072,18.686272,44.98848
40,334.0,-16.853408,19.178016,44.897040000000004
41,335.0,-16.540480000000002,18.686272,44.98848
42,336.0,-16.138144000000004,17.568672,44.897040000000004
43,337.0,-15.735808000000004,16.361663999999998,44.98848
44,338.0,-15.244064000000003,15.154655999999997,44.98848
45,339.0,-14.841728000000003,13.947647999999997,44.98848
46,340.0,-14.439392000000003,12.740639999999997,45.110400000000006
47,341.0,-13.947648000000003,11.533631999999997,45.110400000000006
48,342.0,-13.455904000000002,10.416031999999998,45.110400000000006
49,343.0,-13.053568000000002,9.298431999999998,44.98848
50,344.0,-12.651232000000002,8.180831999999999,44.98848
51,345.0,-12.159488000000001,7.063231999999999,44.98848
52,346.0,-11.757152000000001,5.945632,44.98848
53,347.0,-11.354816000000001,4.828032,45.110400000000006
54,348.0,-10.952480000000001,3.7104320000000004,44.98848
55,349.0,-10.550144000000001,2.5034240000000003,44.98848
56,350.0,-10.0584,1.3858240000000004,44.98848
57,351.0,-9.656064,0.1788160000000003,44.897040000000004
58,352.0,-9.253728,-1.1175999999999997,44.805600000000005
59,353.0,-8.761984,-2.3246079999999996,44.98848
60,354.0,-8.359648,-3.4422079999999995,44.98848
61,355.0,-7.957312,-4.559807999999999,44.897040000000004
62,356.0,-7.465568,-5.677408,44.98848
63,357.0,-6.9738240000000005,-6.884416,44.897040000000004
64,358.0,-6.482080000000001,-8.180832,44.897040000000004
65,359.0,-6.079744000000001,-9.38784,44.897040000000004
66,360.0,-5.588000000000001,-10.594848,44.897040000000004
67,361.0,-5.096256000000001,-11.712448,44.98848
68,362.0,-4.6045120000000015,-12.919456,45.110400000000006
69,363.0,-4.112768000000002,-14.037056,44.98848
70,364.0,-3.7104320000000017,-15.154656,45.110400000000006
71,365.0,-3.3080960000000017,-16.361663999999998,44.897040000000004
72,366.0,-2.8163520000000015,-17.479263999999997,44.98848
73,367.0,-2.4140160000000015,-18.686271999999995,44.98848
74,368.0,-2.0116800000000015,-19.893279999999997,44.897040000000004
75,369.0,-1.6987520000000016,-20.787359999999996,44.98848
76,370.0,-1.4752320000000017,-21.502623999999997,44.897040000000004
77,371.0,-0.7599680000000016,-21.413216,44.98848
78,372.0,0.3576319999999983,-20.697951999999997,44.98848
79,373.0,1.6540479999999982,-20.116799999999998,44.98848
80,374.0,2.9504639999999984,-19.625055999999997,45.110400000000006
81,375.0,4.246879999999998,-19.133311999999997,44.98848
82,376.0,5.543295999999998,-18.641567999999996,45.110400000000006
83,377.0,6.839711999999998,-18.149823999999995,45.110400000000006
84,378.0,8.136127999999998,-17.658079999999995,45.110400000000006
85,379.0,9.119615999999997,-17.568671999999996,44.897040000000004
86,380.0,9.700767999999997,-17.345151999999995,44.805600000000005
87,381.0,9.790175999999997,-16.942815999999993,44.98848
88,382.0,9.298431999999996,-16.048735999999995,44.805600000000005
89,383.0,8.896095999999996,-15.065247999999995,44.897040000000004
90,384.0,8.672575999999996,-14.081759999999996,44.897040000000004
91,385.0,8.270239999999996,-13.098271999999996,44.897040000000004
92,386.0,7.867903999999996,-11.980671999999997,44.897040000000004
